,DMA Code,DMA Name,total,0_10000,10000_14999,15000_19999,20000_24999,25000_29999,30000_34999,35000_39999,40000_49999,50000_59999,60000_69999,70000_79999,80000_89999,90000_99999,100000_124999,125000_149999,150000_174999,175000_199999,200000_249999,250000_299999,300000_399999,400000_499999,500000_749999,750000_999999,1000000_1499999,1500000_1999999,2000000_more
31,531,"Tri-Cities, Tn-Va",228559.0,7322.0,4038.0,2569.0,3367.0,2522.0,3952.0,2639.0,7359.0,8475.0,9673.0,11739.0,12832.0,10572.0,23528.0,22201.0,24286.0,13831.0,20093.0,13163.0,12658.0,4461.0,4642.0,1515.0,592.0,151.0,379.0
32,532,Albany-Schenectady-Troy,377771.0,3759.0,2148.0,2237.0,1558.0,1336.0,1752.0,1378.0,3427.0,4285.0,5717.0,7462.0,9882.0,7646.0,25268.0,28784.0,39414.0,33730.0,58621.0,44691.0,49774.0,20547.0,15053.0,4503.0,2365.0,935.0,1499.0
33,533,Hartford & New Haven,685285.0,3229.0,1436.0,2254.0,1636.0,1621.0,1205.0,1024.0,1824.0,2367.0,3148.0,4894.0,6182.0,6415.0,30526.0,38772.0,64943.0,57130.0,114548.0,100716.0,127805.0,55345.0,39228.0,10448.0,4173.0,1562.0,2854.0
34,534,Orlando-Daytona Bch-Melbrn,1083975.0,13270.0,7660.0,7281.0,7799.0,7089.0,7838.0,5548.0,12828.0,15202.0,16881.0,18829.0,22248.0,19240.0,61377.0,60709.0,95698.0,80233.0,170500.0,145352.0,161818.0,65110.0,52294.0,14389.0,7119.0,2571.0,5092.0
35,535,"Columbus, Oh",628214.0,8200.0,4045.0,3476.0,3301.0,3160.0,3894.0,3047.0,9607.0,12688.0,16557.0,19773.0,23088.0,21773.0,56505.0,55314.0,65094.0,47986.0,79410.0,57400.0,69020.0,31227.0,23642.0,5915.0,2472.0,659.0,961.0
36,536,Youngstown,193452.0,5122.0,3013.0,2545.0,2553.0,2481.0,3425.0,2777.0,7914.0,8850.0,11669.0,12899.0,13296.0,11090.0,23760.0,18236.0,18686.0,9653.0,13906.0,8912.0,7301.0,2543.0,1796.0,474.0,351.0,105.0,95.0
37,537,Bangor,109543.0,1358.0,1282.0,951.0,1306.0,1081.0,1253.0,1101.0,3357.0,3566.0,3546.0,4058.0,4662.0,3858.0,11666.0,10256.0,12998.0,8129.0,12307.0,8407.0,7857.0,2502.0,2294.0,860.0,518.0,136.0,234.0
38,538,"Rochester, Ny",1998068.0,19675.0,8191.0,6237.0,6241.0,5960.0,6889.0,6335.0,16948.0,24072.0,30760.0,35884.0,41917.0,38436.0,99136.0,88942.0,96228.0,64484.0,120318.0,101189.0,184303.0,178209.0,356378.0,198159.0,127062.0,47720.0,88395.0
39,539,Tampa-St. Pete (Sarasota),1330276.0,21304.0,11623.0,13898.0,12639.0,12031.0,12441.0,10061.0,24987.0,26443.0,27143.0,31914.0,36184.0,28995.0,83873.0,79533.0,116370.0,94306.0,179494.0,148203.0,165738.0,75518.0,69045.0,23295.0,13287.0,5107.0,6844.0
40,540,Traverse City-Cadillac,1205825.0,26985.0,19805.0,16599.0,20339.0,17415.0,22257.0,14411.0,38676.0,42336.0,48891.0,49514.0,57212.0,42054.0,122852.0,97562.0,118411.0,69691.0,115736.0,80277.0,87033.0,39626.0,35324.0,12162.0,5590.0,2413.0,2654.0
41,541,Lexington,336840.0,9626.0,5009.0,4060.0,5141.0,4232.0,5609.0,3097.0,8556.0,11069.0,11990.0,12637.0,16242.0,12728.0,35399.0,32820.0,33924.0,24641.0,31795.0,21418.0,23234.0,10135.0,8274.0,2859.0,1331.0,256.0,758.0
42,542,Dayton,328622.0,4483.0,2441.0,2432.0,2386.0,2403.0,2947.0,2934.0,7338.0,10342.0,13224.0,17779.0,19896.0,17553.0,38779.0,36896.0,37119.0,22444.0,31943.0,21287.0,18643.0,7104.0,5355.0,1210.0,995.0,250.0,439.0
43,543,Springfield-Holyoke,172968.0,827.0,360.0,815.0,428.0,282.0,329.0,176.0,497.0,598.0,669.0,768.0,1603.0,1506.0,7403.0,9971.0,20213.0,16805.0,32119.0,27209.0,28019.0,12074.0,6835.0,2090.0,625.0,420.0,327.0
