,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
85,602,Chicago,384507.0,368021.0,752528.0,391736.0,382731.0,774467.0,693210.0,660972.0,1354182.0,1512422.0,1463270.0,2975692.0,1229514.0,1245811.0,2475325.0,1191840.0,1251514.0,2443354.0,827143.0,1065318.0,1892461.0
86,603,Joplin-Pittsburg,21203.0,19580.0,40783.0,21422.0,19689.0,41111.0,35060.0,34120.0,69180.0,68934.0,66063.0,134997.0,55576.0,55211.0,110787.0,61518.0,63642.0,125160.0,50005.0,63247.0,113252.0
87,604,Columbia-Jefferson City,14539.0,13813.0,28352.0,14612.0,13591.0,28203.0,24379.0,23217.0,47596.0,63130.0,62183.0,125313.0,43878.0,41887.0,85765.0,44528.0,45882.0,90410.0,34458.0,41811.0,76269.0
88,605,Topeka,15559.0,14953.0,30512.0,15509.0,14650.0,30159.0,23896.0,22882.0,46778.0,63438.0,57528.0,120966.0,38127.0,37610.0,75737.0,40536.0,42691.0,83227.0,34095.0,41083.0,75178.0
89,606,Dothan,8081.0,7892.0,15973.0,8114.0,7858.0,15972.0,14405.0,13531.0,27936.0,27058.0,26749.0,53807.0,23356.0,24934.0,48290.0,24691.0,26874.0,51565.0,20552.0,26479.0,47031.0
90,609,St. Louis,163677.0,156164.0,319841.0,167669.0,158256.0,325925.0,280409.0,267853.0,548262.0,598502.0,581911.0,1180413.0,487026.0,492949.0,979975.0,523720.0,552222.0,1075942.0,390837.0,501051.0,891888.0
91,610,Rockford,14244.0,13557.0,27801.0,14305.0,13655.0,27960.0,26342.0,25340.0,51682.0,47714.0,46458.0,94172.0,42210.0,42749.0,84959.0,47506.0,48279.0,95785.0,37624.0,46625.0,84249.0
92,611,Rochestr-Mason City-Austin,12089.0,11620.0,23709.0,12712.0,12217.0,24929.0,20769.0,19583.0,40352.0,38175.0,37595.0,75770.0,34069.0,32605.0,66674.0,37242.0,38184.0,75426.0,30663.0,37936.0,68599.0
93,612,Shreveport,48661.0,48074.0,96735.0,49320.0,48429.0,97749.0,85058.0,80628.0,165686.0,165815.0,159739.0,325554.0,132321.0,137308.0,269629.0,137847.0,148068.0,285915.0,114689.0,144752.0,259441.0
94,613,Minneapolis-St. Paul,292171.0,279720.0,571891.0,300139.0,287065.0,587204.0,487693.0,469518.0,957211.0,1063269.0,1026346.0,2089615.0,879507.0,857392.0,1736899.0,911325.0,922478.0,1833803.0,649781.0,785972.0,1435753.0
